"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2024","53.72","53.71","54.27","53.57","3.26M","-0.87%"
"07/12/2024","54.19","54.36","54.64","53.84","3.90M","0.31%"
"07/11/2024","54.02","53.28","54.18","53.28","3.26M","1.96%"
"07/10/2024","52.98","52.59","53.07","52.19","2.68M","0.63%"
"07/09/2024","52.65","52.72","53.06","52.15","3.42M","-0.27%"
"07/08/2024","52.79","52.81","52.92","52.39","3.88M","-0.15%"
"07/05/2024","52.87","52.53","52.94","52.14","2.69M","0.49%"
"07/03/2024","52.61","53.43","53.60","52.23","2.80M","-1.20%"
"07/02/2024","53.25","52.57","53.40","52.03","4.18M","1.08%"
"07/01/2024","52.68","53.85","53.91","52.28","4.50M","-1.94%"
"06/28/2024","53.72","52.96","53.95","52.67","7.19M","1.26%"
"06/27/2024","53.05","53.65","53.67","52.85","4.17M","-1.19%"
"06/26/2024","53.69","53.54","54.27","53.32","3.47M","-0.48%"
"06/25/2024","53.95","53.90","55.35","53.81","4.37M","-0.11%"
"06/24/2024","54.01","54.32","54.96","53.99","5.69M","-0.26%"
"06/21/2024","54.15","53.88","54.47","53.67","10.48M","0.58%"
"06/20/2024","53.84","54.66","54.95","53.47","4.64M","-1.30%"
"06/18/2024","54.55","52.85","54.59","52.85","5.62M","2.65%"
"06/17/2024","53.14","52.01","53.22","51.72","4.40M","1.94%"
"06/14/2024","52.13","53.08","53.45","51.94","5.74M","-2.91%"
"06/13/2024","53.69","53.40","54.34","53.35","4.64M","0.94%"
"06/12/2024","53.19","53.41","53.69","52.81","4.57M","0.36%"
"06/11/2024","53.00","52.77","53.03","52.13","4.20M","-0.28%"
"06/10/2024","53.15","52.65","53.19","52.42","3.60M","0.13%"
"06/07/2024","53.08","53.35","53.75","53.03","4.34M","-0.58%"
"06/06/2024","53.39","53.81","53.84","53.31","4.92M","0.72%"
"06/05/2024","53.01","53.73","54.25","52.78","4.85M","-1.38%"
